Tytuł,Opis,Cena,Metraż
Nowe Miasto Zawady,Poznań,280500,36.3
Podgórze Wielicka,Kraków,650000,51.0
Zwierzyniec Wola Justowska,Kraków,419000,32.95
Podgórze ul Zabłocie 27,Kraków,806771,67.91
PragaPołudnie Gocław ul Czesława Witoszyńskiego,Warszawa,581000,73.0
Wola Mirów Grzybowska,Warszawa,2507223,105.79
Prądnik Czerwony Promienistych,Kraków,501587,57.92
Stare Miasto Winogrady,Poznań,452160,62.8
Prądnik Biały,Kraków,373950,33.24
Nowe Miasto Malta ul Katowicka,Poznań,629825,71.98
Wola Kolejowa,Warszawa,899000,54.18
Krowodrza Krowoderskich Zuchów,Kraków,450000,51.17
Dębniki Ruczaj,Kraków,462007,50.77
Jeżyce Wola ul Janusza Meissnera,Poznań,536610,72.81
Stare Miasto ul Półwiejska,Poznań,950000,130.0
Prądnik Biały Andrzeja FryczaModrzewskiego,Kraków,545000,58.0
Targówek Bródno,Warszawa,468750,37.5
Podgórze Stare Podgórze ul Stanisława Mitery 7,Kraków,298500,33.17
Żoliborz ul Włościańska 15,Warszawa,365000,30.0
Wola Grzybowska,Warszawa,995000,52.31
BieżanówProkocim Agatowa,Kraków,290000,39.02
Jeżyce ul św Wawrzyńca 11,Poznań,422680,50.14
Krowodrza Łobzów,Kraków,324000,24.0
Nowe Miasto Rataje Wagrowska,Poznań,371186,41.49
Żoliborz Sady Żoliborskie Braci Załuskich,Warszawa,480000,37.5
Nowe Miasto Śródka ul ks Zdzisława Bernata,Poznań,430227,59.44
Mokotów Obrzeżna,Warszawa,809000,73.5
Mokotów ul Bartycka,Warszawa,720000,62.0
Ursynów Na Uboczu,Warszawa,489000,47.2
Prądnik Biały Stefana Banacha,Kraków,386471,42.19
Żoliborz,Warszawa,469000,49.0
Targówek Targówek Mieszkaniowy Zamiejska,Warszawa,519000,58.8
Zwierzyniec Salwator gen Tadeusza Kościuszki,Kraków,1914660,174.06
BieżanówProkocim,Kraków,399000,32.0
Targówek Bródno,Warszawa,469000,47.0
Mokotów ul Wincentego Rzymowskiego 47,Warszawa,620000,56.0
Nowa Huta Czyżyny,Kraków,469742,52.78
Dębniki KlinyZacisze bpa A Małysiaka,Kraków,378820,58.28
Mokotów Komputerowa,Warszawa,2060000,119.42
Podgórze Duchackie Marii i Bolesława Wysłouchów,Kraków,291000,37.0
Żoliborz ul Ludwika Rydygiera,Warszawa,1109000,73.0
Podgórze ul płk Ryszarda Kuklińskiego 7,Kraków,537084,49.73
Stare Miasto Centrum Strzałowa,Poznań,369000,31.0
Prądnik Czerwony ul Śliczna,Kraków,836532,87.03
PragaPółnoc Nowa Praga ul Równa,Warszawa,679000,62.8
Wola ul Okopowa,Warszawa,720000,56.2
Mokotów ul Bukowińska,Warszawa,1150000,96.0
Żoliborz ul Braci Załuskich,Warszawa,480000,38.5
BieżanówProkocim Wielicka 179,Kraków,402038,44.18
Podgórze Duchackie,Kraków,548000,54.8
Grzegórzki ul Grzegórzecka,Kraków,1028000,82.24
Mokotów Stegny Aleja gen Władysława Sikorskiego,Warszawa,2300000,173.5
Białołęka Skarbka z Gór,Warszawa,855000,83.0
Białołęka Atrakcyjna,Warszawa,303900,36.13
Śródmieście,Warszawa,4200000,200.0
Nowa Huta os Tysiąclecia,Kraków,399000,47.0
Grunwald Górczyn ul Ceglana,Poznań,687608,68.08
Mistrzejowice ul Piasta Kołodzieja,Kraków,359484,41.32
małopolskie,Kraków,877240,62.66
Stare Miasto Winogrady Wilczak 20,Poznań,385950,49.8
Nowe Miasto Zawady Studzienna,Poznań,410308,61.24
Rembertów ul Chełmżyńska,Warszawa,417260,56.77
Bemowo,Warszawa,369000,35.0
Nowa Huta Czyżyny ul Sołtysowska,Kraków,337542,33.42
ŁagiewnikiBorek Fałęcki Łagiewniki Aleksandra Fredry,Kraków,599000,63.8
Jeżyce ul Stanisława Szczepanowskiego,Poznań,505267,64.0
Wola,Warszawa,399700,38.0
Krowodrza,Kraków,359000,34.04
Mokotów Sadyba Nałęczowska,Warszawa,691485,62.72
Krowodrza Adama Vetulaniego,Kraków,375100,42.03
PragaPołudnie Saska Kępa Adampolska,Warszawa,633000,47.0
Nowe Miasto Rataje Milczańska,Poznań,925000,101.93
Grzegórzki Stanisława Lema,Kraków,483190,45.8
Podgórze Duchackie Wola Duchacka Walerego Sławka,Kraków,399000,44.21
Bielany Wrzeciono,Warszawa,330000,26.9
Podgórze Duchackie ul Sebastiana Klonowica,Kraków,630000,61.14
Podgórze Płaszów,Kraków,495000,51.4
Mokotów Puławska,Warszawa,640000,55.8
Mokotów,Warszawa,540000,42.0
Krowodrza Głowackiego,Kraków,390000,32.21
Mokotów ul Zdziechowskiego 6,Warszawa,2272000,120.99
Śródmieście Śródmieście Południowe pl Plac Konstytucji,Warszawa,1150000,71.0
Wola Wronia,Warszawa,1599000,136.96
Mokotów,Warszawa,460000,41.89
Mokotów,Warszawa,584000,42.55
Wola Juliana Konstantego Ordona,Warszawa,576335,46.62
Podgórze ul Stanisława Klimeckiego,Kraków,649000,58.13
Mokotów Górny Mokotów ul Jarosława Dąbrowskiego,Warszawa,409000,28.76
ŁagiewnikiBorek Fałęcki Borek Fałęcki ks Wojciecha Karabuły,Kraków,899470,81.8
Mokotów,Warszawa,577200,48.1
Śródmieście,Warszawa,1230000,59.0
Bronowice ks Stanisława Truszkowskiego,Kraków,552865,71.81
Stare Miasto Św Wawrzyńca,Kraków,549000,30.0
Bronowice Bronowice Małe Głowackiego,Kraków,590000,59.0
Nowe Miasto Rataje,Poznań,421779,51.71
Prądnik Biały Józefa Chełmońskiego,Kraków,405000,39.2
Prądnik Czerwony Dominikanów,Kraków,912400,86.0
Mokotów,Warszawa,2600000,140.0
Bemowo Zaborowska,Warszawa,799000,83.4
Ochota,Warszawa,518000,47.1
Zwierzyniec Las Wolski Królowej Jadwigi,Kraków,860000,110.0
Targówek Targówek Mieszkaniowy Rembielińska,Warszawa,313000,25.0
Bemowo ul gen Sylwestra Kaliskiego,Warszawa,899000,88.05
Stare Miasto Naramowice,Poznań,513341,83.47
Ochota Rakowiec Siemieńskiego,Warszawa,399000,36.3
Grzegórzki Dąbie Na Szaniec,Kraków,375000,42.0
Grunwald ul Jugosłowiańska,Poznań,349000,50.0
Nowa Huta Czyżyny,Kraków,549500,69.0
Podgórze Przewóz,Kraków,530000,53.0
Nowa Huta os Centrum A,Kraków,715000,76.0
Mokotów,Warszawa,2200000,157.67
Ochota,Warszawa,328500,23.38
małopolskie,Kraków,480000,48.0
Stare Miasto Kazimierz Augustiańska,Kraków,999000,78.78
PragaPołudnie,Warszawa,472000,45.0
Podgórze ul płk Ryszarda Kuklińskiego 7,Kraków,354042,34.71
Podgórze Rydlówka,Kraków,447000,39.45
Podgórze Bonarka,Kraków,349000,35.35
Mokotów Służew,Warszawa,899000,74.0
PragaPołudnie Saska Kępa Międzynarodowa,Warszawa,469000,38.0
Stare Miasto pl Juliusza Kossaka,Kraków,486500,35.0
Grzegórzki Stanisława Lema,Kraków,464000,45.8
PragaPołudnie Grochów Zagójska,Warszawa,398000,33.87
Prądnik Biały Górka Narodowa Witkowicka,Kraków,270000,27.26
Grzegórzki Bajeczna,Kraków,790000,60.0
Podgórze Duchackie Łużycka,Kraków,388000,57.0
Bieńczyce,Kraków,370000,39.2
PragaPołudnie,Warszawa,780000,55.0
Podgórze Duchackie Kurdwanów Marii i Bolesława Wysłouchów,Kraków,609000,70.0
Krowodrza,Kraków,594000,64.5
Bemowo Lazurowa,Warszawa,699000,71.0
Podgórze ul płk Ryszarda Kuklińskiego 7,Kraków,402864,33.6
PragaPołudnie Saska Kępa Lizbońska,Warszawa,799000,71.6
Ursus ul Dzieci Warszawy,Warszawa,326101,30.91
PragaPołudnie ul Wspólna Droga,Warszawa,720000,69.0
Ursynów,Warszawa,950000,82.0
Prądnik Czerwony al 29 Listopada,Kraków,555000,60.0
Stare Miasto al Zygmunta Krasińskiego,Kraków,935000,84.0
PragaPołudnie Gocław Ostrobramska,Warszawa,447000,45.58
Prądnik Czerwony Celarowska,Kraków,359000,36.5
Ursynów,Warszawa,565000,49.0
PragaPółnoc ul Szwedzka,Warszawa,733112,55.3
Bemowo,Warszawa,570000,50.0
Stare Miasto Wilczak Wilczak 16 A,Poznań,495824,65.24
Stare Miasto Oskara Kolberga,Kraków,1051274,86.17
Mokotów Dolny Mokotów ul Nicejska,Warszawa,527000,48.0
Ochota ul Sękocińska,Warszawa,499000,37.2
Bielany Starej Baśni,Warszawa,369900,37.0
Ochota,Warszawa,499000,35.5
Białołęka,Warszawa,355000,40.32
Kraków małopolskie,Kraków,390000,50.0
Bielany Piaski al Aleja Władysława Reymonta,Warszawa,470000,41.5
Wilanów ul Krzysztofa Kieślowskiego,Warszawa,899000,80.3
Wola,Warszawa,548000,56.0
Wilda Dębiec,Poznań,229000,28.24
Śródmieście Śródmieście Południowe ul Nowogrodzka 18,Warszawa,2050000,85.0
Targówek,Warszawa,499000,47.0
Stare Miasto Piątkowo Stefana Batorego,Poznań,475000,64.7
Podgórze Duchackie ul Walerego Sławka,Kraków,769000,88.73
Wesoła Jasna,Warszawa,600000,38.0
Podgórze Stare Podgórze,Kraków,639000,61.5
Podgórze al gen Jana Skrzyneckiego,Kraków,644093,72.37
Wola Chłodna,Warszawa,409000,27.0
PragaPółnoc Radzymińska,Warszawa,322506,28.77
Nowe Miasto Śródka ul ks Zdzisława Bernata,Poznań,539907,79.84
Bemowo,Warszawa,595000,48.0
Bemowo ul Anieli Krzywoń,Warszawa,560000,72.0
Bemowo Nowe Górce Secemińska,Warszawa,680000,73.5
Stare Miasto ul Sukiennicza,Kraków,2690000,106.0
Mokotów,Warszawa,850000,62.9
Mokotów ul Domaniewska 34B,Warszawa,431200,27.82
Wola,Warszawa,460000,46.13
Nowe Miasto Starołęka,Poznań,297000,50.85
Stare Miasto Naramowice ul Sielawy,Poznań,274100,35.59
Zwierzyniec Wola Justowska Franciszka Bielaka,Kraków,864500,65.0
Wilanów al Rzeczypospolitej,Warszawa,2350000,140.87
BieżanówProkocim Złocieniowa,Kraków,279202,36.26
Ochota Żwirki i Wigury,Warszawa,619000,53.0
Targówek Bródno,Warszawa,409000,38.0
Prądnik Biały Żabiniec Andrzeja FryczaModrzewskiego,Kraków,478000,42.0
Ursynów ul Kłobucka,Warszawa,811300,69.8
Wola Jana Kazimierza,Warszawa,435000,32.5
Białołęka ul Marywilska,Warszawa,584000,75.0
Zwierzyniec Wola Justowska,Kraków,1996395,126.2
BieżanówProkocim Jana Kurczaba,Kraków,425000,55.9
Grunwald Jeleniogórska 13,Poznań,385000,55.0
Mokotów Powsińska,Warszawa,1439000,120.07
Grunwald Jeleniogórska 13,Poznań,401760,55.8
Podgórze Duchackie ul Walerego Sławka,Kraków,399000,44.21
Mistrzejowice,Kraków,463536,62.64
Rembertów Chełmżyńska,Warszawa,498846,70.26
Podgórze Zabłocie płk Ryszarda Kuklińskiego,Kraków,379911,33.83
Śródmieście,Warszawa,1795000,105.46
Nowe Miasto Rataje,Poznań,231614,25.98
Bielany marymoncka 155,Warszawa,439000,37.51
Wola,Warszawa,470000,47.0
Grzegórzki ul płk Francesco Nullo,Kraków,510279,36.19
Krowodrza Włodzimierza Tetmajera,Kraków,705000,112.01
Ochota Stara Ochota,Warszawa,579000,47.0
Żoliborz Elbląska,Warszawa,560000,49.0
Prądnik Biały,Kraków,566034,65.43
Podgórze Duchackie Walerego Sławka,Kraków,529000,60.22
Stare Miasto Floriana Straszewskiego,Kraków,1650000,85.0
Krowodrza al Juliusza Słowackiego,Kraków,1499000,136.0
PragaPołudnie,Warszawa,560000,65.0
Bronowice Zielony Most,Kraków,619990,60.0
Żoliborz Sady Żoliborskie,Warszawa,500000,42.0
Stare Miasto Naramowice ul Czarnucha,Poznań,324301,45.87
Grzegórzki,Kraków,930000,80.0
Dębniki Ruczaj dr Jana Piltza,Kraków,364000,35.94
Żoliborz,Warszawa,1800000,157.5
Bielany ul Rudzka 5,Warszawa,778200,61.21
Mistrzejowice,Kraków,247000,26.0
Śródmieście Powiśle al 3 Maja,Warszawa,995000,66.04
Podgórze Płaszów płk Ryszarda Kuklińskiego,Kraków,379911,33.83
Mokotów ul Wałbrzyska,Warszawa,770000,63.1
BieżanówProkocim Wielicka 179,Kraków,505115,53.17
Stare Miasto,Kraków,350000,19.02
Podgórze Duchackie Kurdwanów,Kraków,308000,35.0
Wilanów Herbu Janina,Warszawa,650000,64.2
PragaPołudnie Gocław Janusza Meissnera,Warszawa,559000,60.0
Podgórze Płaszów Myśliwska,Kraków,380000,36.28
Grzegórzki Grzegórzecka,Kraków,319900,25.5
Prądnik Czerwony Wieczysta ul Śliczna,Kraków,725000,75.0
Grunwald Górczyn Jakuba Krauthofera,Poznań,282600,35.51
Żoliborz Przasnyska,Warszawa,542000,57.0
Stare Miasto ul Opieńskiego 12,Poznań,469568,71.43
Ochota Włodarzewska,Warszawa,620000,51.91
Targówek Bazyliańska,Warszawa,380000,37.5
Krowodrza Bronowicka,Kraków,600484,49.22
Grzegórzki,Kraków,645320,49.64
Wola Dzielna,Warszawa,590000,54.0
Mokotów,Warszawa,720000,57.0
Prądnik Biały Azory,Kraków,515000,59.51
Stare Miasto Piątkowo ul Teofila Mateckiego,Poznań,462163,63.18
Bronowice ul Bronowicka 5,Kraków,940094,83.94
Dębniki ul Kobierzyńska,Kraków,699000,64.89
Białołęka,Warszawa,499000,87.0
Śródmieście Żelazna,Kraków,1387870,126.17
Bronowice Józefa Chełmońskiego,Kraków,557000,56.35
Mokotów Arbuzowa,Warszawa,1064000,78.6
Białołęka ul Leona Berensona,Warszawa,379000,56.22
Podgórze Duchackie Kurdwanów,Kraków,298999,33.25
Bemowo,Warszawa,1150000,105.0
PragaPółnoc,Warszawa,398000,34.0
Podgórze Duchackie ul Walerego Sławka,Kraków,549000,59.72
Ochota Żwirki i Wigury,Warszawa,520000,46.0
Stare Miasto Krupnicza,Kraków,531600,44.3
Grzegórzki,Kraków,845824,71.68
Bemowo,Warszawa,456000,46.0
Bemowo,Warszawa,490000,51.0
wielkopolskie,Poznań,446200,59.5
Krowodrza Wrocławska,Kraków,385000,28.1
Nowa Huta Czyżyny ul Woźniców,Kraków,414120,34.51
Wola ul Juliusza Ordona,Warszawa,629000,49.79
Bielany Marymoncka,Warszawa,365500,24.0
Mistrzejowice Piasta Kołodzieja,Kraków,530556,68.02
Dębniki ul dr Jana Piltza,Kraków,454000,52.11
Prądnik Czerwony Kwartowa,Kraków,525000,64.0
Podgórze Zabłocie Stanisława Klimeckiego,Kraków,569000,54.66
Nowe Miasto Rataje Milczańska,Poznań,494250,64.51
Grunwald ul Budziszyńska,Poznań,345926,47.29
Grunwald Marcelego Mottego,Poznań,330000,47.0
Stare Miasto ul Wielopole,Kraków,1465000,98.83
Bemowo Osiedle Leśne,Warszawa,1750000,110.0
Włochy Nowe Włochy ul Obywatelska,Warszawa,890000,93.57
Jeżyce Sołacz ul gen Stanisława Maczka,Poznań,240000,30.0
Stare Miasto ul Opieńskiego 12,Poznań,479230,56.38
Krowodrza Kazimierza Wielkiego,Kraków,1842225,127.05
Wola Elekcyjna,Warszawa,399000,38.0
Mokotów,Warszawa,1165000,79.0
Ursynów Natolin,Warszawa,569000,53.0
Mokotów,Warszawa,445000,44.0
Bemowo Metro Lazurowa,Warszawa,811000,83.4
Białołęka,Warszawa,458800,52.61
Jeżyce Strzeszyn,Poznań,850000,113.0
PragaPołudnie Gocław,Warszawa,564512,55.71
Mokotów ul Domaniewska 34B,Warszawa,444790,33.2
Wola,Warszawa,445468,37.46
Jeżyce Podolany ul Druskienicka,Poznań,315000,35.32
ŁagiewnikiBorek Fałęcki Borek Fałęcki,Kraków,249000,29.0
Dębniki Zygmunta Miłkowskiego,Kraków,1200000,115.0
Białołęka Łopianowa,Warszawa,470000,42.45
Prądnik Biały Górka Narodowa Stefana Banacha,Kraków,369000,44.0
Grzegórzki,Kraków,2350000,195.0
Grzegórzki al Pokoju,Kraków,499900,50.0
BieżanówProkocim Bieżanów,Kraków,346847,48.51
Grzegórzki Olsza,Kraków,675000,67.0
Rembertów ul Chełmżyńska,Warszawa,406965,62.61
Rembertów Kawalerka z balkonem Sprawdź,Warszawa,225000,25.44
Zwierzyniec Wola Justowska,Kraków,767000,59.0
Mistrzejowice ul Piasta Kołodzieja,Kraków,437286,47.02
Białołęka Głębocka,Warszawa,425000,49.0
Nowa Huta,Kraków,349000,50.92
Nowa Huta Czyżyny Centralna,Kraków,429000,51.0
Grzegórzki Grzegórzecka,Kraków,1054000,84.32
Bielany ul Rudzka 5,Warszawa,674200,53.17
Podgórze Płaszów,Kraków,405000,54.61
Ursus Skorosze,Warszawa,799000,96.0
Śródmieście ul Dzielna,Warszawa,809000,51.68
Grzegórzki Grzegórzecka,Kraków,897600,74.8
PragaPołudnie Kamionek Bliska,Warszawa,408000,46.87
BieżanówProkocim,Kraków,325000,50.04
Wilanów,Warszawa,1550000,112.0
wielkopolskie,Poznań,870000,123.0
Podgórze Zabłocie płk Ryszarda Kuklińskiego,Kraków,372857,34.46
Stare Miasto Piątkowo Os Bolesława Chrobrego,Poznań,325000,46.8
ŁagiewnikiBorek Fałęcki Jagodowa,Kraków,399000,54.0
Krowodrza,Kraków,550000,48.0
Nowe Miasto Ostrów Tumski Zagórze 9,Poznań,485093,47.28
Mokotów ul Piaseczyńska,Warszawa,1890000,119.32
Bemowo,Warszawa,704000,61.6
Bemowo,Warszawa,445000,30.0
Wilda Dębiec,Poznań,319000,38.5
Śródmieście ul Górnośląska 4,Warszawa,650000,47.0
Stare Miasto Wilczak Wilczak 16 A,Poznań,533566,67.54
Mokotów Górny Mokotów Bedricha Smetany,Warszawa,1415000,77.4
Nowe Miasto Rataje,Poznań,293916,36.6
Śródmieście Bonerowska,Kraków,1050000,105.5
Stare Miasto,Kraków,859000,58.0
Bronowice ul Bronowicka 5,Kraków,990468,91.71
Śródmieście ul bp Jana Prandoty,Kraków,619000,45.19
Grzegórzki,Kraków,659924,56.89
Białołęka,Warszawa,540000,72.7
PragaPołudnie Łukowska,Warszawa,475000,64.1
Wilanów,Warszawa,720000,51.32
Wola ul Marcina Kasprzaka,Warszawa,1250000,90.0
Dębniki KlinyZacisze bpa A Małysiaka,Kraków,355550,54.7
Jeżyce,Poznań,410850,49.5
Wilanów ul Sarmacka,Warszawa,820000,62.0
Zwierzyniec Wola Justowska ulEmaus,Kraków,629900,53.34
PragaPołudnie Gocław,Warszawa,440000,39.0
Żoliborz ul Kłopot,Warszawa,620100,50.4
Dębniki Stare Dębniki Barska 69,Kraków,581112,46.12
Ochota Gorlicka,Warszawa,549000,48.0
Bielany,Warszawa,405000,47.4
Prądnik Biały Opolska,Kraków,299000,20.43
Dębniki KlinyZacisze Anny SzwedŚniadowskiej,Kraków,440000,47.0
Śródmieście,Warszawa,625000,45.0
wielkopolskie,Poznań,279000,43.0
Bronowice Bronowice Małe ul Bronowicka,Kraków,269000,24.0
Ursynów Wrzosowisko,Warszawa,1199000,163.0
Stare Miasto Naramowice,Poznań,553315,80.65
Zwierzyniec Wola Justowska,Kraków,549000,50.0
Nowa Huta Czyżyny Nowohucka 46,Kraków,577538,59.54
Śródmieście Śródmieście Południowe ul Mokotowska,Warszawa,860000,54.0
Stare Miasto Naramowice,Poznań,377000,53.89
Nowa Huta Czyżyny,Kraków,375682,44.2
Stare Miasto Centrum,Poznań,1925000,141.0
Ochota,Warszawa,993000,90.3
Śródmieście,Warszawa,3300000,101.0
Nowe Miasto Rataje,Poznań,520000,76.9
Mistrzejowice,Kraków,350000,39.0
Włochy,Warszawa,565000,43.0
Bielany Broniewskiego Piaski,Warszawa,444000,47.0
Nowa Huta Czyżyny ul Woźniców,Kraków,660744,71.82
Grunwald Górczyn ul Ceglana,Poznań,369270,41.03
Stare Miasto Naramowice ul Czarnucha,Poznań,428561,65.23
Grunwald,Poznań,524300,77.67
Wola ul Jana Kazimierza,Warszawa,685000,57.2
Stare Miasto ul Rakowicka,Kraków,356730,25.3
BieżanówProkocim Złocień Agatowa,Kraków,600000,67.48
Nowe Miasto Malta,Poznań,328000,37.95
Stare Miasto ul Garbary,Poznań,550000,59.05
Białołęka Tarchomin Kościeszów 6,Warszawa,488369,58.07
PragaPołudnie Gocław,Warszawa,463000,46.47
Targówek Bródno,Warszawa,525000,57.0
Ochota,Warszawa,617000,43.64
Ursynów Kłobucka,Warszawa,799000,66.8
Grzegórzki ul płk Francesco Nullo,Kraków,512050,52.33
Włochy Budki Szczęśliwickie,Warszawa,410000,38.41
Bielany ul Rudzka 5,Warszawa,728800,61.16
Mistrzejowice ul Piasta Kołodzieja,Kraków,469931,61.03
Włochy,Warszawa,950000,81.0
Podgórze Duchackie Kurdwanów Stojałowskiego,Kraków,407000,52.8
Śródmieście Grzybowska,Warszawa,589000,48.5
Podgórze Sebastiana Klonowica,Kraków,444640,55.58
Nowe Miasto Malta ul Katowicka,Poznań,426645,44.91
Krowodrza Henryka Pachońskiego,Kraków,475000,47.5
BieżanówProkocim Wielicka 179,Kraków,454345,51.05
Grunwald Jeleniogórska 13,Poznań,393840,54.7
Stare Miasto Naramowice ul Czarnucha,Poznań,321553,43.63
Stare Miasto ul Garncarska,Kraków,349000,36.0
Mokotów,Warszawa,510000,36.6
Targówek Wysockiego,Warszawa,399000,38.0
Nowe Miasto Malta ul Katowicka,Poznań,424270,44.66
Stare Miasto Bogusławskiego,Kraków,465000,29.5
PragaPółnoc ul Szwedzka,Warszawa,847484,67.94
Nowa Huta,Kraków,330000,35.0
Nowe Miasto Kobyle Pole ul abp Walentego Dymka,Poznań,304500,40.6
Śródmieście,Warszawa,2390000,90.0
Grzegórzki ul płk Francesco Nullo,Kraków,907872,81.06
Stare Miasto Wilczak Wilczak 16 A,Poznań,466088,56.84
Śródmieście Powiśle Leszczyńska,Warszawa,1990000,79.6
Wola Muranów Stare Nalewki,Warszawa,3600000,117.0
Jeżyce Wola ul Janusza Meissnera,Poznań,493362,62.53
Zwierzyniec Wola Justowska marsz Ferdynanda Focha,Kraków,1098000,61.0
Grzegórzki Olsza Wiśniowa,Kraków,510000,61.4
Targówek Bródno Toruńska,Warszawa,485000,54.5
Ursynów,Warszawa,437000,40.51
Wola,Warszawa,345000,32.0
Ursynów Kabaty,Warszawa,950000,82.0
Ursynów Stefana SzolcRogozińskiego,Warszawa,699000,73.7
Mokotów Ksawerów al Niepodległości,Warszawa,710000,57.0
Nowa Huta Czyżyny Stanisława Lema,Kraków,533891,51.09
Prądnik Biały Stefana Banacha,Kraków,453157,53.16
Mokotów Górny Mokotów ul Stefana Batorego 29,Warszawa,610000,48.2
Białołęka Sieczna osiedle Lewandów III,Warszawa,440000,40.25
PragaPołudnie Gocław,Warszawa,629408,58.9
BieżanówProkocim ul Mała Góra,Kraków,443706,51.78
Prądnik Czerwony Sudolska,Kraków,367000,35.0
Dębniki ul Bułgarska,Kraków,457900,43.0
Mokotów ul Bluszczańska,Warszawa,599625,47.97
Śródmieście Powiśle,Warszawa,728000,56.0
Nowa Huta Czyżyny Nowohucka 46,Kraków,354255,33.9
Nowa Huta Czyżyny Nowohucka 46,Kraków,564129,65.98
Stare Miasto Piątkowo ul Teofila Mateckiego 24,Poznań,546000,70.0
Grunwald Jeleniogórska 13,Poznań,470704,64.48
Podgórze,Kraków,379000,35.43
Stare Miasto Naramowice ul Czarnucha,Poznań,430886,62.72
Żoliborz Gwiaździsta,Warszawa,696200,59.0
Mokotów,Warszawa,923675,83.8
PragaPołudnie Kamionek,Warszawa,375000,25.0
Grunwald Górczyn,Poznań,799000,95.09
Dębniki Kobierzyńska,Kraków,799000,133.0
Podgórze,Kraków,530000,32.0
Bemowo,Warszawa,450000,40.0
Stare Miasto Winogrady,Poznań,400980,53.11
Bemowo,Warszawa,595000,60.0
Ochota,Warszawa,479700,46.0
Podgórze Duchackie Walerego Sławka,Kraków,559000,62.66
Śródmieście,Warszawa,675000,45.0
Nowa Huta Czyżyny Centralna,Kraków,495000,63.28
Bronowice ul Bronowicka,Kraków,618906,50.73
Nowe Miasto Kobyle Pole os Przemysława,Poznań,529000,83.3
Mokotów,Warszawa,500000,44.0
Prądnik Biały Wincentego Danka,Kraków,369344,37.12
Podgórze Parkowa,Kraków,1042088,132.75
Podgórze Lwowska,Kraków,736320,56.64
wielkopolskie,Poznań,543000,76.0
BieżanówProkocim Erazma Jerzmanowskiego,Kraków,279000,26.0
Prądnik Biały Szymona Zimorowicza,Kraków,469999,49.02
Grunwald Jeleniogórska 13,Poznań,318709,35.81
Śródmieście,Warszawa,620159,50.37
Stare Miasto Starowiślna,Kraków,760000,72.99
Rembertów Chełmżyńska,Warszawa,356714,49.89
Podgórze ul płk Ryszarda Kuklińskiego 7,Kraków,385344,35.68
Stare Miasto Piątkowo ul Mateckiego,Poznań,507684,72.63
Mokotów Jurajska,Warszawa,488900,37.0
Stare Miasto Mikołaja Zyblikiewicza,Kraków,920000,95.19
Krowodrza,Kraków,386400,28.0
Prądnik Czerwony 29 Listopada,Kraków,480000,43.0
Mokotów Puławska,Warszawa,539000,57.0
Dębniki,Kraków,760000,59.0
Mokotów Jana Czeczota,Warszawa,2950000,140.0
Prądnik Biały Szymona Zimorowicza,Kraków,293000,25.02
Mokotów Jadźwingów,Warszawa,680000,56.09
Dębniki KlinyZacisze ul prof Wojciecha Marii Bartla,Kraków,465000,59.53
Podgórze Duchackie Podedworze,Kraków,499000,57.0
Jeżyce Strzeszyn,Poznań,285000,35.0
Mokotów Dolny Mokotów,Warszawa,449000,33.0
Stare Miasto Naramowice Karpia Sielawy Naramowicka,Poznań,410556,60.4
Wola,Warszawa,577000,53.0
Mokotów Pola Mokotowskie,Warszawa,1090000,80.1
Wola Mirów Pańska,Warszawa,899750,52.5
ŁagiewnikiBorek Fałęcki Łagiewniki Zdunów,Kraków,870000,80.74
BieżanówProkocim Bieżanów Nefrytowa,Kraków,267000,36.23
Grunwald Górczyn ul Romana Dmowskiego,Poznań,506200,64.06
Zwierzyniec Bielany Królowej Jadwigi,Kraków,1072237,80.68
Mokotów Jana Pawła Woronicza,Warszawa,1500000,103.0
Ochota Szczęśliwice ul Grójecka,Warszawa,779000,49.0
Targówek,Warszawa,809435,84.35
Ochota,Warszawa,870000,74.0
Targówek,Warszawa,390000,42.0
Śródmieście Śródmieście Północne ul Mordechaja Anielewicza,Warszawa,393000,27.12
Mokotów ul Kazimierza Kuratowskiego,Warszawa,768000,82.6
Mistrzejowice,Kraków,467222,58.04
Mistrzejowice os Piastów,Kraków,629000,63.0
Grunwald Łazarz Emilii Sczanieckiej,Poznań,349000,43.0
Stare Miasto,Kraków,820695,37.96
Mistrzejowice ul Piasta Kołodzieja,Kraków,587496,64.56
Wola al Prymasa Tysiąclecia,Warszawa,650000,57.0
Stare Miasto Naramowice Karpia Sielawy Naramowicka,Poznań,477654,66.35
Mokotów Wojciecha Żywnego,Warszawa,430000,36.3
Nowe Miasto Rataje,Poznań,449760,56.22
Nowe Miasto Rataje Łacina,Poznań,1064600,110.84
Dębniki,Kraków,1144954,45.8
Grunwald,Poznań,365000,55.0
Śródmieście Twarda,Warszawa,2300000,54.0
Wawer,Warszawa,638561,82.93
PragaPołudnie gen Tadeusza BoraKomorowskiego,Warszawa,346000,33.4
Stare Miasto Piątkowo os Stefana Batorego,Poznań,420000,61.0
Dębniki KlinyZacisze prof Bolesława Wiktora Wicherkiewicza,Kraków,140000,58.5
Grunwald Ławica Bukowska,Poznań,339000,65.16
Podgórze Duchackie Wola Duchacka Włoska,Kraków,420000,48.0
Grunwald Górczyn,Poznań,614000,61.18
Podgórze Stare Podgórze al Pod Kopcem,Kraków,339000,32.4
Ochota,Warszawa,1250000,94.4
